block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,28,
2,function,rejects,29,40,
3,imaginary,block_3_imag,41,41,
4,function,recover,42,81,
5,imaginary,block_5_imag,82,95,95
6,function,play_tmstmp23,96,99,
7,imaginary,block_7_imag,100,112,"102,112"
8,function,play_tmstmp39,113,116,
9,imaginary,block_9_imag,117,120,
10,function,owner,121,123,
11,function,bug_tmstmp36,124,132,124
12,imaginary,block_12_imag,133,145,141
13,function,isOwner,146,148,
14,imaginary,block_14_imag,149,149,149
15,function,play_tmstmp35,150,153,
16,imaginary,block_16_imag,154,158,
17,function,transferOwnership,159,161,
18,function,bug_tmstmp40,162,170,162
19,imaginary,block_19_imag,171,174,
20,function,_transferOwnership,175,179,
21,function,bug_tmstmp33,180,182,180
22,imaginary,block_22_imag,183,185,
23,function,function_at_186,186,188,
24,imaginary,block_24_imag,189,199,199
25,function,play_tmstmp14,200,202,
26,imaginary,block_26_imag,203,210,210
27,function,play_tmstmp27,211,214,
28,imaginary,block_28_imag,215,217,
29,function,from,218,228,
30,imaginary,block_30_imag,229,234,"229,234"
31,function,play_tmstmp30,235,237,
32,imaginary,block_32_imag,238,238,
33,function,bug_tmstmp8,239,247,239
34,imaginary,block_34_imag,248,257,"250,257"
35,function,play_tmstmp31,258,261,
36,imaginary,block_36_imag,262,262,
37,function,execute,263,281,
38,function,bug_tmstmp13,282,284,282
39,imaginary,block_39_imag,285,285,
40,function,setRelayer,286,290,
41,imaginary,block_41_imag,291,293,291
