block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,22,
2,function,add,23,26,
3,function,sub,27,30,
4,function,mul,31,34,
5,function,div,35,38,
6,imaginary,block_6_imag,39,47,
7,function,bug_tmstmp25,48,50,48
8,imaginary,block_8_imag,51,52,52
9,function,play_tmstmp19,53,56,
10,imaginary,block_10_imag,57,58,58
11,function,play_tmstmp26,59,61,
12,imaginary,block_12_imag,62,62,
13,function,bug_tmstmp20,63,71,63
14,imaginary,block_14_imag,72,72,
15,function,bug_tmstmp32,73,81,73
16,imaginary,block_16_imag,82,83,83
17,function,play_tmstmp38,84,86,
18,imaginary,block_18_imag,87,95,"88,90"
19,function,to,96,111,102
20,imaginary,block_20_imag,112,117,
21,function,bug_tmstmp12,118,126,118
22,imaginary,block_22_imag,127,128,128
23,function,play_tmstmp11,129,132,
24,imaginary,block_24_imag,133,137,135
25,function,Owned,138,140,
26,imaginary,block_26_imag,141,141,141
27,function,play_tmstmp7,142,145,
28,imaginary,block_28_imag,146,152,151
29,function,transferOwnership,153,155,
30,imaginary,block_30_imag,156,156,156
31,function,play_tmstmp23,157,160,
32,function,acceptOwnership,161,166,
33,imaginary,block_33_imag,167,167,167
34,function,play_tmstmp14,168,170,
35,imaginary,block_35_imag,171,180,
36,function,bug_tmstmp1,181,183,181
37,imaginary,block_37_imag,184,185,185
38,function,play_tmstmp2,186,188,
39,imaginary,block_39_imag,189,189,
40,function,bug_tmstmp17,190,192,190
41,imaginary,block_41_imag,193,193,
42,function,bug_tmstmp37,194,196,194
43,imaginary,block_43_imag,197,199,199
44,function,play_tmstmp3,200,203,
45,imaginary,block_45_imag,204,204,
46,function,bug_tmstmp9,205,207,205
47,imaginary,block_47_imag,208,213,
48,function,function_at_214,214,221,
49,imaginary,block_49_imag,222,222,222
50,function,play_tmstmp30,223,225,
51,imaginary,block_51_imag,226,230,
52,function,totalSupply,231,233,
53,function,bug_tmstmp8,234,242,234
54,imaginary,block_54_imag,243,247,
55,function,balanceOf,248,250,
56,imaginary,block_56_imag,251,251,251
57,function,play_tmstmp39,252,255,
58,imaginary,block_58_imag,256,262,
59,function,transfer,263,268,
60,function,bug_tmstmp36,269,277,269
61,imaginary,block_61_imag,278,279,
62,function,increaseApproval,280,284,
63,imaginary,block_63_imag,285,285,285
64,function,play_tmstmp35,286,289,
65,imaginary,block_65_imag,290,290,
66,function,decreaseApproval,291,300,
67,function,bug_tmstmp40,301,309,301
68,imaginary,block_68_imag,310,319,
69,function,approve,320,324,
70,function,bug_tmstmp33,325,327,325
71,imaginary,block_71_imag,328,338,
72,function,transferFrom,339,345,
73,imaginary,block_73_imag,346,346,346
74,function,play_tmstmp27,347,350,
75,imaginary,block_75_imag,351,356,
76,function,allowance,357,359,
77,imaginary,block_77_imag,360,360,360
78,function,play_tmstmp31,361,364,
79,imaginary,block_79_imag,365,368,
80,function,approveAndCall,369,377,
81,function,bug_tmstmp13,378,380,378
82,imaginary,block_82_imag,381,385,
83,function,transferAnyERC20Token,386,388,
84,imaginary,block_84_imag,389,390,389
