block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,46,
2,function,add,47,52,
3,imaginary,block_3_imag,53,62,
4,function,sub,63,68,
5,imaginary,block_5_imag,69,78,
6,function,mul,79,91,
7,imaginary,block_7_imag,92,96,
8,function,uses,97,111,
9,imaginary,block_9_imag,112,116,
10,function,uses,117,127,
11,imaginary,block_11_imag,128,135,
12,function,my_func_unchk11,136,138,136
13,imaginary,block_13_imag,139,139,
14,function,callnotchecked_unchk1,140,142,140
15,imaginary,block_15_imag,143,149,146
16,function,sendToWinner_unchk44,150,154,
17,imaginary,block_17_imag,155,159,
18,function,callnotchecked_unchk37,160,162,160
19,imaginary,block_19_imag,163,169,
20,function,onlyOwnerTransferOwnership,170,172,
21,function,bug_unchk3,173,174,173
22,imaginary,block_22_imag,175,176,
23,function,acceptOwnership,177,182,
24,imaginary,block_24_imag,183,184,183
25,function,withdrawLeftOver_unchk9,185,188,
26,imaginary,block_26_imag,189,201,
27,function,withdrawBal_unchk41,202,204,202
28,imaginary,block_28_imag,205,205,
29,function,bug_unchk42,206,213,206
30,imaginary,block_30_imag,214,214,
31,function,unhandledsend_unchk2,215,217,215
32,imaginary,block_32_imag,218,219,
33,function,bug_unchk43,220,224,220
34,imaginary,block_34_imag,225,225,
35,function,my_func_uncheck48,226,228,226
36,imaginary,block_36_imag,229,229,
37,function,withdrawBal_unchk17,230,232,230
38,imaginary,block_38_imag,233,234,
39,function,UncheckedExternalCall_unchk40,235,243,235
40,imaginary,block_40_imag,244,246,245
41,function,withdrawLeftOver_unchk33,247,250,
42,imaginary,block_42_imag,251,251,
43,function,bug_unchk27,252,253,252
44,imaginary,block_44_imag,254,254,
45,function,bug_unchk31,255,259,255
46,imaginary,block_46_imag,260,262,261
47,function,withdrawLeftOver_unchk45,263,266,
48,imaginary,block_48_imag,267,267,
49,function,callnotchecked_unchk13,268,270,268
50,imaginary,block_50_imag,271,277,
51,function,callnotchecked_unchk25,278,280,278
52,imaginary,block_52_imag,281,281,
53,function,changeSafeguardStatus,282,292,
54,function,bug_unchk19,293,297,293
55,imaginary,block_55_imag,298,299,
56,function,calculatePercentage,300,306,
57,function,unhandledsend_unchk26,307,309,307
58,imaginary,block_58_imag,310,314,
59,function,function_at_315,315,315,
60,imaginary,block_60_imag,316,317,
61,function,changeFeeAccount,318,320,
62,imaginary,block_62_imag,321,324,321
63,function,sendToWinner_unchk20,325,329,
64,imaginary,block_64_imag,330,330,
65,function,changetradingFee,331,334,
66,imaginary,block_66_imag,335,338,335
67,function,sendToWinner_unchk32,339,343,
68,imaginary,block_68_imag,344,344,
69,function,availableTradingFeeOwner,345,348,
70,function,unhandledsend_unchk38,349,351,349
71,imaginary,block_71_imag,352,352,
72,function,withdrawTradingFeeOwner,353,363,
73,function,cash_unchk46,364,368,364
74,imaginary,block_74_imag,369,369,
75,function,deposit,370,373,
76,function,UncheckedExternalCall_unchk4,374,382,374
77,imaginary,block_77_imag,383,383,
78,function,withdraw,384,390,
79,function,bug_unchk7,391,395,391
80,imaginary,block_80_imag,396,396,
81,function,depositToken,397,403,
82,function,my_func_unchk23,404,406,404
83,imaginary,block_83_imag,407,407,
84,function,withdrawToken,408,415,
85,function,unhandledsend_unchk14,416,418,416
86,imaginary,block_86_imag,419,419,
87,function,balanceOf,420,422,
88,function,bug_unchk30,423,430,423
89,imaginary,block_89_imag,431,431,
90,function,order,432,436,
91,imaginary,block_91_imag,437,440,437
92,function,sendToWinner_unchk8,441,445,
93,imaginary,block_93_imag,446,446,
94,function,trade,447,459,
95,imaginary,block_95_imag,460,460,
96,function,tradeBalances,461,470,
97,function,bug_unchk39,471,472,471
98,imaginary,block_98_imag,473,473,
99,function,testTrade,474,481,
100,function,my_func_uncheck36,482,484,482
101,imaginary,block_101_imag,485,485,
102,function,availableVolume,486,498,
103,imaginary,block_103_imag,499,499,
104,function,amountFilled,500,503,
105,function,my_func_unchk35,504,506,504
106,imaginary,block_106_imag,507,507,
107,function,cancelOrder,508,514,
108,imaginary,block_108_imag,515,515,
