block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,25,
2,function,safeAdd,26,29,
3,function,bug_unchk_send5,30,31,30
4,function,safeSub,32,35,
5,function,bug_unchk_send15,36,37,36
6,function,safeMul,38,41,
7,function,bug_unchk_send28,42,43,42
8,function,safeDiv,44,47,
9,function,bug_unchk_send21,48,49,48
10,imaginary,block_10_imag,50,58,
11,function,bug_unchk_send10,59,60,59
12,imaginary,block_12_imag,61,61,
13,function,bug_unchk_send22,62,63,62
14,imaginary,block_14_imag,64,64,
15,function,bug_unchk_send12,65,66,65
16,imaginary,block_16_imag,67,67,
17,function,bug_unchk_send11,68,69,68
18,imaginary,block_18_imag,70,70,
19,function,bug_unchk_send1,71,72,71
20,imaginary,block_20_imag,73,73,
21,function,bug_unchk_send2,74,75,74
22,imaginary,block_22_imag,76,76,
23,function,bug_unchk_send27,77,78,77
24,imaginary,block_24_imag,79,79,
25,function,bug_unchk_send31,80,81,80
26,imaginary,block_26_imag,82,86,
27,function,to,87,95,93
28,imaginary,block_28_imag,96,104,
29,function,bug_unchk_send13,105,106,105
30,imaginary,block_30_imag,107,111,
31,function,bug_unchk_send3,112,113,112
32,imaginary,block_32_imag,114,119,
33,function,transferOwnership,120,122,
34,function,bug_unchk_send9,123,124,123
35,function,acceptOwnership,125,130,
36,function,bug_unchk_send25,131,132,131
37,imaginary,block_37_imag,133,141,
38,function,bug_unchk_send18,142,143,142
39,imaginary,block_39_imag,144,144,
40,function,bug_unchk_send29,145,146,145
41,imaginary,block_41_imag,147,147,
42,function,bug_unchk_send6,148,149,148
43,imaginary,block_43_imag,150,151,
44,function,bug_unchk_send16,152,153,152
45,imaginary,block_45_imag,154,154,
46,function,bug_unchk_send24,155,156,155
47,imaginary,block_47_imag,157,170,
48,function,bug_unchk_send19,171,172,171
49,imaginary,block_49_imag,173,177,
50,function,totalSupply,178,180,
51,function,bug_unchk_send26,181,182,181
52,imaginary,block_52_imag,183,187,
53,function,balanceOf,188,190,
54,function,bug_unchk_send20,191,192,191
55,imaginary,block_55_imag,193,199,
56,function,transfer,200,205,
57,function,bug_unchk_send32,206,207,206
58,imaginary,block_58_imag,208,217,
59,function,approve,218,222,
60,function,bug_unchk_send4,223,224,223
61,imaginary,block_61_imag,225,235,
62,function,transferFrom,236,242,
63,function,bug_unchk_send7,243,244,243
64,imaginary,block_64_imag,245,250,
65,function,allowance,251,253,
66,function,bug_unchk_send23,254,255,254
67,imaginary,block_67_imag,256,259,
68,function,approveAndCall,260,268,
69,function,bug_unchk_send14,269,270,269
70,imaginary,block_70_imag,271,275,
71,function,function_at_276,276,278,
72,function,bug_unchk_send30,279,280,279
73,imaginary,block_73_imag,281,285,
74,function,transferAnyERC20Token,286,288,
75,function,bug_unchk_send8,289,290,289
76,imaginary,block_76_imag,291,293,
