line,loc,length,bug type,approach
34,34,1,Timestamp-Dependency,code snippet injection
32,32,1,Timestamp-Dependency,code snippet injection
29,29,1,Timestamp-Dependency,code snippet injection
27,27,1,Timestamp-Dependency,code snippet injection
25,25,1,Timestamp-Dependency,code snippet injection
22,21,3,Timestamp-Dependency,code snippet injection
17,15,5,Timestamp-Dependency,code snippet injection
18,15,5,Timestamp-Dependency,code snippet injection
11,9,5,Timestamp-Dependency,code snippet injection
12,9,5,Timestamp-Dependency,code snippet injection
287,286,3,Timestamp-Dependency,code snippet injection
276,273,9,Timestamp-Dependency,code snippet injection
277,273,9,Timestamp-Dependency,code snippet injection
278,273,9,Timestamp-Dependency,code snippet injection
263,261,5,Timestamp-Dependency,code snippet injection
264,261,5,Timestamp-Dependency,code snippet injection
251,248,9,Timestamp-Dependency,code snippet injection
252,248,9,Timestamp-Dependency,code snippet injection
253,248,9,Timestamp-Dependency,code snippet injection
220,218,5,Timestamp-Dependency,code snippet injection
221,218,5,Timestamp-Dependency,code snippet injection
203,200,9,Timestamp-Dependency,code snippet injection
204,200,9,Timestamp-Dependency,code snippet injection
205,200,9,Timestamp-Dependency,code snippet injection
189,187,4,Timestamp-Dependency,code snippet injection
179,177,4,Timestamp-Dependency,code snippet injection
167,165,5,Timestamp-Dependency,code snippet injection
168,165,5,Timestamp-Dependency,code snippet injection
156,154,5,Timestamp-Dependency,code snippet injection
157,154,5,Timestamp-Dependency,code snippet injection
113,110,9,Timestamp-Dependency,code snippet injection
114,110,9,Timestamp-Dependency,code snippet injection
115,110,9,Timestamp-Dependency,code snippet injection
107,105,4,Timestamp-Dependency,code snippet injection
97,94,9,Timestamp-Dependency,code snippet injection
98,94,9,Timestamp-Dependency,code snippet injection
99,94,9,Timestamp-Dependency,code snippet injection
87,84,9,Timestamp-Dependency,code snippet injection
88,84,9,Timestamp-Dependency,code snippet injection
89,84,9,Timestamp-Dependency,code snippet injection
81,79,4,Timestamp-Dependency,code snippet injection
74,72,5,Timestamp-Dependency,code snippet injection
75,72,5,Timestamp-Dependency,code snippet injection
68,67,3,Timestamp-Dependency,code snippet injection
63,62,3,Timestamp-Dependency,code snippet injection
58,56,5,Timestamp-Dependency,code snippet injection
59,56,5,Timestamp-Dependency,code snippet injection
53,52,3,Timestamp-Dependency,code snippet injection
