line,loc,length,bug type,approach
331,331,1,Timestamp-Dependency,code snippet injection
324,324,1,Timestamp-Dependency,code snippet injection
315,315,1,Timestamp-Dependency,code snippet injection
310,310,1,Timestamp-Dependency,code snippet injection
303,303,1,Timestamp-Dependency,code snippet injection
294,293,3,Timestamp-Dependency,code snippet injection
283,281,5,Timestamp-Dependency,code snippet injection
284,281,5,Timestamp-Dependency,code snippet injection
257,255,5,Timestamp-Dependency,code snippet injection
258,255,5,Timestamp-Dependency,code snippet injection
246,245,3,Timestamp-Dependency,code snippet injection
233,230,9,Timestamp-Dependency,code snippet injection
234,230,9,Timestamp-Dependency,code snippet injection
235,230,9,Timestamp-Dependency,code snippet injection
210,208,5,Timestamp-Dependency,code snippet injection
211,208,5,Timestamp-Dependency,code snippet injection
196,193,9,Timestamp-Dependency,code snippet injection
197,193,9,Timestamp-Dependency,code snippet injection
198,193,9,Timestamp-Dependency,code snippet injection
186,184,5,Timestamp-Dependency,code snippet injection
187,184,5,Timestamp-Dependency,code snippet injection
174,171,9,Timestamp-Dependency,code snippet injection
175,171,9,Timestamp-Dependency,code snippet injection
176,171,9,Timestamp-Dependency,code snippet injection
165,163,4,Timestamp-Dependency,code snippet injection
107,105,4,Timestamp-Dependency,code snippet injection
98,96,5,Timestamp-Dependency,code snippet injection
99,96,5,Timestamp-Dependency,code snippet injection
89,87,5,Timestamp-Dependency,code snippet injection
90,87,5,Timestamp-Dependency,code snippet injection
77,74,9,Timestamp-Dependency,code snippet injection
78,74,9,Timestamp-Dependency,code snippet injection
79,74,9,Timestamp-Dependency,code snippet injection
156,154,4,Timestamp-Dependency,code snippet injection
147,144,9,Timestamp-Dependency,code snippet injection
148,144,9,Timestamp-Dependency,code snippet injection
149,144,9,Timestamp-Dependency,code snippet injection
137,134,9,Timestamp-Dependency,code snippet injection
138,134,9,Timestamp-Dependency,code snippet injection
139,134,9,Timestamp-Dependency,code snippet injection
131,129,4,Timestamp-Dependency,code snippet injection
125,123,5,Timestamp-Dependency,code snippet injection
126,123,5,Timestamp-Dependency,code snippet injection
119,118,3,Timestamp-Dependency,code snippet injection
115,114,3,Timestamp-Dependency,code snippet injection
64,62,5,Timestamp-Dependency,code snippet injection
65,62,5,Timestamp-Dependency,code snippet injection
59,58,3,Timestamp-Dependency,code snippet injection
55,54,3,Timestamp-Dependency,code snippet injection
