line,loc,length,bug type,approach
121,121,1,Timestamp-Dependency,code snippet injection
118,118,1,Timestamp-Dependency,code snippet injection
115,115,1,Timestamp-Dependency,code snippet injection
67,67,1,Timestamp-Dependency,code snippet injection
348,348,1,Timestamp-Dependency,code snippet injection
342,341,3,Timestamp-Dependency,code snippet injection
330,328,5,Timestamp-Dependency,code snippet injection
331,328,5,Timestamp-Dependency,code snippet injection
317,315,5,Timestamp-Dependency,code snippet injection
318,315,5,Timestamp-Dependency,code snippet injection
303,302,3,Timestamp-Dependency,code snippet injection
288,285,9,Timestamp-Dependency,code snippet injection
289,285,9,Timestamp-Dependency,code snippet injection
290,285,9,Timestamp-Dependency,code snippet injection
198,196,5,Timestamp-Dependency,code snippet injection
199,196,5,Timestamp-Dependency,code snippet injection
181,178,9,Timestamp-Dependency,code snippet injection
182,178,9,Timestamp-Dependency,code snippet injection
183,178,9,Timestamp-Dependency,code snippet injection
168,166,5,Timestamp-Dependency,code snippet injection
169,166,5,Timestamp-Dependency,code snippet injection
153,150,9,Timestamp-Dependency,code snippet injection
154,150,9,Timestamp-Dependency,code snippet injection
155,150,9,Timestamp-Dependency,code snippet injection
143,141,4,Timestamp-Dependency,code snippet injection
132,130,4,Timestamp-Dependency,code snippet injection
74,72,5,Timestamp-Dependency,code snippet injection
75,72,5,Timestamp-Dependency,code snippet injection
59,57,5,Timestamp-Dependency,code snippet injection
60,57,5,Timestamp-Dependency,code snippet injection
259,256,9,Timestamp-Dependency,code snippet injection
260,256,9,Timestamp-Dependency,code snippet injection
261,256,9,Timestamp-Dependency,code snippet injection
245,243,4,Timestamp-Dependency,code snippet injection
236,233,9,Timestamp-Dependency,code snippet injection
237,233,9,Timestamp-Dependency,code snippet injection
238,233,9,Timestamp-Dependency,code snippet injection
225,222,9,Timestamp-Dependency,code snippet injection
226,222,9,Timestamp-Dependency,code snippet injection
227,222,9,Timestamp-Dependency,code snippet injection
219,217,4,Timestamp-Dependency,code snippet injection
213,211,5,Timestamp-Dependency,code snippet injection
214,211,5,Timestamp-Dependency,code snippet injection
111,110,3,Timestamp-Dependency,code snippet injection
107,106,3,Timestamp-Dependency,code snippet injection
101,99,5,Timestamp-Dependency,code snippet injection
102,99,5,Timestamp-Dependency,code snippet injection
96,95,3,Timestamp-Dependency,code snippet injection
92,91,3,Timestamp-Dependency,code snippet injection
88,86,4,Timestamp-Dependency,code snippet injection
50,49,3,Timestamp-Dependency,code snippet injection
