line,loc,length,bug type,approach
204,204,1,Timestamp-Dependency,code snippet injection
202,202,1,Timestamp-Dependency,code snippet injection
200,200,1,Timestamp-Dependency,code snippet injection
77,77,1,Timestamp-Dependency,code snippet injection
37,37,1,Timestamp-Dependency,code snippet injection
449,448,3,Timestamp-Dependency,code snippet injection
435,433,5,Timestamp-Dependency,code snippet injection
436,433,5,Timestamp-Dependency,code snippet injection
423,421,5,Timestamp-Dependency,code snippet injection
424,421,5,Timestamp-Dependency,code snippet injection
411,410,3,Timestamp-Dependency,code snippet injection
400,397,9,Timestamp-Dependency,code snippet injection
401,397,9,Timestamp-Dependency,code snippet injection
402,397,9,Timestamp-Dependency,code snippet injection
343,341,5,Timestamp-Dependency,code snippet injection
344,341,5,Timestamp-Dependency,code snippet injection
327,324,9,Timestamp-Dependency,code snippet injection
328,324,9,Timestamp-Dependency,code snippet injection
329,324,9,Timestamp-Dependency,code snippet injection
306,304,5,Timestamp-Dependency,code snippet injection
307,304,5,Timestamp-Dependency,code snippet injection
280,277,9,Timestamp-Dependency,code snippet injection
281,277,9,Timestamp-Dependency,code snippet injection
282,277,9,Timestamp-Dependency,code snippet injection
267,265,4,Timestamp-Dependency,code snippet injection
254,252,4,Timestamp-Dependency,code snippet injection
245,243,5,Timestamp-Dependency,code snippet injection
246,243,5,Timestamp-Dependency,code snippet injection
237,235,5,Timestamp-Dependency,code snippet injection
238,235,5,Timestamp-Dependency,code snippet injection
227,224,9,Timestamp-Dependency,code snippet injection
228,224,9,Timestamp-Dependency,code snippet injection
229,224,9,Timestamp-Dependency,code snippet injection
151,149,4,Timestamp-Dependency,code snippet injection
134,131,9,Timestamp-Dependency,code snippet injection
135,131,9,Timestamp-Dependency,code snippet injection
136,131,9,Timestamp-Dependency,code snippet injection
93,90,9,Timestamp-Dependency,code snippet injection
94,90,9,Timestamp-Dependency,code snippet injection
95,90,9,Timestamp-Dependency,code snippet injection
60,58,4,Timestamp-Dependency,code snippet injection
45,43,5,Timestamp-Dependency,code snippet injection
46,43,5,Timestamp-Dependency,code snippet injection
382,381,3,Timestamp-Dependency,code snippet injection
191,190,3,Timestamp-Dependency,code snippet injection
186,184,5,Timestamp-Dependency,code snippet injection
187,184,5,Timestamp-Dependency,code snippet injection
181,180,3,Timestamp-Dependency,code snippet injection
177,176,3,Timestamp-Dependency,code snippet injection
73,71,4,Timestamp-Dependency,code snippet injection
33,32,3,Timestamp-Dependency,code snippet injection
