line,loc,length,bug type,approach
258,258,1,Timestamp-Dependency,code snippet injection
126,126,1,Timestamp-Dependency,code snippet injection
97,97,1,Timestamp-Dependency,code snippet injection
92,92,1,Timestamp-Dependency,code snippet injection
142,142,1,Timestamp-Dependency,code snippet injection
622,621,3,Timestamp-Dependency,code snippet injection
610,608,5,Timestamp-Dependency,code snippet injection
611,608,5,Timestamp-Dependency,code snippet injection
597,595,5,Timestamp-Dependency,code snippet injection
598,595,5,Timestamp-Dependency,code snippet injection
580,579,3,Timestamp-Dependency,code snippet injection
564,561,9,Timestamp-Dependency,code snippet injection
565,561,9,Timestamp-Dependency,code snippet injection
566,561,9,Timestamp-Dependency,code snippet injection
536,534,5,Timestamp-Dependency,code snippet injection
537,534,5,Timestamp-Dependency,code snippet injection
513,510,9,Timestamp-Dependency,code snippet injection
514,510,9,Timestamp-Dependency,code snippet injection
515,510,9,Timestamp-Dependency,code snippet injection
484,482,5,Timestamp-Dependency,code snippet injection
485,482,5,Timestamp-Dependency,code snippet injection
468,465,9,Timestamp-Dependency,code snippet injection
469,465,9,Timestamp-Dependency,code snippet injection
470,465,9,Timestamp-Dependency,code snippet injection
455,453,4,Timestamp-Dependency,code snippet injection
444,442,4,Timestamp-Dependency,code snippet injection
433,431,5,Timestamp-Dependency,code snippet injection
434,431,5,Timestamp-Dependency,code snippet injection
420,418,5,Timestamp-Dependency,code snippet injection
421,418,5,Timestamp-Dependency,code snippet injection
408,405,9,Timestamp-Dependency,code snippet injection
409,405,9,Timestamp-Dependency,code snippet injection
410,405,9,Timestamp-Dependency,code snippet injection
398,396,4,Timestamp-Dependency,code snippet injection
385,382,9,Timestamp-Dependency,code snippet injection
386,382,9,Timestamp-Dependency,code snippet injection
387,382,9,Timestamp-Dependency,code snippet injection
344,341,9,Timestamp-Dependency,code snippet injection
345,341,9,Timestamp-Dependency,code snippet injection
346,341,9,Timestamp-Dependency,code snippet injection
318,316,4,Timestamp-Dependency,code snippet injection
288,286,5,Timestamp-Dependency,code snippet injection
289,286,5,Timestamp-Dependency,code snippet injection
158,157,3,Timestamp-Dependency,code snippet injection
148,147,3,Timestamp-Dependency,code snippet injection
134,132,5,Timestamp-Dependency,code snippet injection
135,132,5,Timestamp-Dependency,code snippet injection
112,111,3,Timestamp-Dependency,code snippet injection
93,92,3,Timestamp-Dependency,code snippet injection
89,87,4,Timestamp-Dependency,code snippet injection
84,83,3,Timestamp-Dependency,code snippet injection
79,77,5,Timestamp-Dependency,code snippet injection
80,77,5,Timestamp-Dependency,code snippet injection
70,67,9,Timestamp-Dependency,code snippet injection
71,67,9,Timestamp-Dependency,code snippet injection
72,67,9,Timestamp-Dependency,code snippet injection
64,62,4,Timestamp-Dependency,code snippet injection
254,252,4,Timestamp-Dependency,code snippet injection
249,248,3,Timestamp-Dependency,code snippet injection
245,243,4,Timestamp-Dependency,code snippet injection
236,233,9,Timestamp-Dependency,code snippet injection
237,233,9,Timestamp-Dependency,code snippet injection
238,233,9,Timestamp-Dependency,code snippet injection
229,227,5,Timestamp-Dependency,code snippet injection
230,227,5,Timestamp-Dependency,code snippet injection
224,223,3,Timestamp-Dependency,code snippet injection
216,213,9,Timestamp-Dependency,code snippet injection
217,213,9,Timestamp-Dependency,code snippet injection
218,213,9,Timestamp-Dependency,code snippet injection
206,203,9,Timestamp-Dependency,code snippet injection
207,203,9,Timestamp-Dependency,code snippet injection
208,203,9,Timestamp-Dependency,code snippet injection
200,198,4,Timestamp-Dependency,code snippet injection
195,194,3,Timestamp-Dependency,code snippet injection
191,189,4,Timestamp-Dependency,code snippet injection
