line,loc,length,bug type,approach
232,232,1,Timestamp-Dependency,code snippet injection
230,230,1,Timestamp-Dependency,code snippet injection
228,228,1,Timestamp-Dependency,code snippet injection
35,35,1,Timestamp-Dependency,code snippet injection
33,33,1,Timestamp-Dependency,code snippet injection
30,29,3,Timestamp-Dependency,code snippet injection
25,23,5,Timestamp-Dependency,code snippet injection
26,23,5,Timestamp-Dependency,code snippet injection
306,304,5,Timestamp-Dependency,code snippet injection
307,304,5,Timestamp-Dependency,code snippet injection
292,291,3,Timestamp-Dependency,code snippet injection
271,268,9,Timestamp-Dependency,code snippet injection
272,268,9,Timestamp-Dependency,code snippet injection
273,268,9,Timestamp-Dependency,code snippet injection
255,253,5,Timestamp-Dependency,code snippet injection
256,253,5,Timestamp-Dependency,code snippet injection
242,239,9,Timestamp-Dependency,code snippet injection
243,239,9,Timestamp-Dependency,code snippet injection
244,239,9,Timestamp-Dependency,code snippet injection
210,208,5,Timestamp-Dependency,code snippet injection
211,208,5,Timestamp-Dependency,code snippet injection
196,193,9,Timestamp-Dependency,code snippet injection
197,193,9,Timestamp-Dependency,code snippet injection
198,193,9,Timestamp-Dependency,code snippet injection
185,183,4,Timestamp-Dependency,code snippet injection
174,172,4,Timestamp-Dependency,code snippet injection
162,160,5,Timestamp-Dependency,code snippet injection
163,160,5,Timestamp-Dependency,code snippet injection
152,150,5,Timestamp-Dependency,code snippet injection
153,150,5,Timestamp-Dependency,code snippet injection
139,136,9,Timestamp-Dependency,code snippet injection
140,136,9,Timestamp-Dependency,code snippet injection
141,136,9,Timestamp-Dependency,code snippet injection
129,127,4,Timestamp-Dependency,code snippet injection
116,113,9,Timestamp-Dependency,code snippet injection
117,113,9,Timestamp-Dependency,code snippet injection
118,113,9,Timestamp-Dependency,code snippet injection
102,99,9,Timestamp-Dependency,code snippet injection
103,99,9,Timestamp-Dependency,code snippet injection
104,99,9,Timestamp-Dependency,code snippet injection
92,90,4,Timestamp-Dependency,code snippet injection
64,62,5,Timestamp-Dependency,code snippet injection
65,62,5,Timestamp-Dependency,code snippet injection
55,54,3,Timestamp-Dependency,code snippet injection
47,46,3,Timestamp-Dependency,code snippet injection
223,221,5,Timestamp-Dependency,code snippet injection
224,221,5,Timestamp-Dependency,code snippet injection
218,217,3,Timestamp-Dependency,code snippet injection
19,18,3,Timestamp-Dependency,code snippet injection
15,13,4,Timestamp-Dependency,code snippet injection
10,9,3,Timestamp-Dependency,code snippet injection
