line,loc,length,bug type,approach
152,152,1,Timestamp-Dependency,code snippet injection
128,128,1,Timestamp-Dependency,code snippet injection
121,121,1,Timestamp-Dependency,code snippet injection
439,439,1,Timestamp-Dependency,code snippet injection
287,287,1,Timestamp-Dependency,code snippet injection
466,465,3,Timestamp-Dependency,code snippet injection
455,453,5,Timestamp-Dependency,code snippet injection
456,453,5,Timestamp-Dependency,code snippet injection
446,444,5,Timestamp-Dependency,code snippet injection
447,444,5,Timestamp-Dependency,code snippet injection
428,427,3,Timestamp-Dependency,code snippet injection
416,413,9,Timestamp-Dependency,code snippet injection
417,413,9,Timestamp-Dependency,code snippet injection
418,413,9,Timestamp-Dependency,code snippet injection
407,405,5,Timestamp-Dependency,code snippet injection
408,405,5,Timestamp-Dependency,code snippet injection
395,392,9,Timestamp-Dependency,code snippet injection
396,392,9,Timestamp-Dependency,code snippet injection
397,392,9,Timestamp-Dependency,code snippet injection
385,383,5,Timestamp-Dependency,code snippet injection
386,383,5,Timestamp-Dependency,code snippet injection
372,369,9,Timestamp-Dependency,code snippet injection
373,369,9,Timestamp-Dependency,code snippet injection
374,369,9,Timestamp-Dependency,code snippet injection
363,361,4,Timestamp-Dependency,code snippet injection
355,353,4,Timestamp-Dependency,code snippet injection
345,343,5,Timestamp-Dependency,code snippet injection
346,343,5,Timestamp-Dependency,code snippet injection
334,332,5,Timestamp-Dependency,code snippet injection
335,332,5,Timestamp-Dependency,code snippet injection
276,273,9,Timestamp-Dependency,code snippet injection
277,273,9,Timestamp-Dependency,code snippet injection
278,273,9,Timestamp-Dependency,code snippet injection
248,246,4,Timestamp-Dependency,code snippet injection
236,233,9,Timestamp-Dependency,code snippet injection
237,233,9,Timestamp-Dependency,code snippet injection
238,233,9,Timestamp-Dependency,code snippet injection
200,197,9,Timestamp-Dependency,code snippet injection
201,197,9,Timestamp-Dependency,code snippet injection
202,197,9,Timestamp-Dependency,code snippet injection
154,152,4,Timestamp-Dependency,code snippet injection
148,146,5,Timestamp-Dependency,code snippet injection
149,146,5,Timestamp-Dependency,code snippet injection
143,142,3,Timestamp-Dependency,code snippet injection
136,135,3,Timestamp-Dependency,code snippet injection
123,121,5,Timestamp-Dependency,code snippet injection
124,121,5,Timestamp-Dependency,code snippet injection
118,117,3,Timestamp-Dependency,code snippet injection
114,113,3,Timestamp-Dependency,code snippet injection
110,108,4,Timestamp-Dependency,code snippet injection
105,104,3,Timestamp-Dependency,code snippet injection
100,98,5,Timestamp-Dependency,code snippet injection
101,98,5,Timestamp-Dependency,code snippet injection
319,316,9,Timestamp-Dependency,code snippet injection
320,316,9,Timestamp-Dependency,code snippet injection
321,316,9,Timestamp-Dependency,code snippet injection
312,310,4,Timestamp-Dependency,code snippet injection
303,301,4,Timestamp-Dependency,code snippet injection
298,297,3,Timestamp-Dependency,code snippet injection
294,292,4,Timestamp-Dependency,code snippet injection
260,257,9,Timestamp-Dependency,code snippet injection
261,257,9,Timestamp-Dependency,code snippet injection
262,257,9,Timestamp-Dependency,code snippet injection
167,165,5,Timestamp-Dependency,code snippet injection
168,165,5,Timestamp-Dependency,code snippet injection
