line,loc,length,bug type,approach
72,72,1,Timestamp-Dependency,code snippet injection
68,68,1,Timestamp-Dependency,code snippet injection
64,64,1,Timestamp-Dependency,code snippet injection
238,238,1,Timestamp-Dependency,code snippet injection
219,219,1,Timestamp-Dependency,code snippet injection
202,201,3,Timestamp-Dependency,code snippet injection
179,177,5,Timestamp-Dependency,code snippet injection
180,177,5,Timestamp-Dependency,code snippet injection
159,157,5,Timestamp-Dependency,code snippet injection
160,157,5,Timestamp-Dependency,code snippet injection
139,138,3,Timestamp-Dependency,code snippet injection
119,116,9,Timestamp-Dependency,code snippet injection
120,116,9,Timestamp-Dependency,code snippet injection
121,116,9,Timestamp-Dependency,code snippet injection
92,90,5,Timestamp-Dependency,code snippet injection
93,90,5,Timestamp-Dependency,code snippet injection
55,52,9,Timestamp-Dependency,code snippet injection
56,52,9,Timestamp-Dependency,code snippet injection
57,52,9,Timestamp-Dependency,code snippet injection
48,46,5,Timestamp-Dependency,code snippet injection
49,46,5,Timestamp-Dependency,code snippet injection
37,34,9,Timestamp-Dependency,code snippet injection
38,34,9,Timestamp-Dependency,code snippet injection
39,34,9,Timestamp-Dependency,code snippet injection
30,28,4,Timestamp-Dependency,code snippet injection
25,23,4,Timestamp-Dependency,code snippet injection
19,17,5,Timestamp-Dependency,code snippet injection
20,17,5,Timestamp-Dependency,code snippet injection
