line,loc,length,bug type,approach
293,293,1,Timestamp-Dependency,code snippet injection
100,100,1,Timestamp-Dependency,code snippet injection
96,96,1,Timestamp-Dependency,code snippet injection
92,92,1,Timestamp-Dependency,code snippet injection
13,13,1,Timestamp-Dependency,code snippet injection
392,391,3,Timestamp-Dependency,code snippet injection
379,377,5,Timestamp-Dependency,code snippet injection
380,377,5,Timestamp-Dependency,code snippet injection
368,366,5,Timestamp-Dependency,code snippet injection
369,366,5,Timestamp-Dependency,code snippet injection
356,355,3,Timestamp-Dependency,code snippet injection
341,338,9,Timestamp-Dependency,code snippet injection
342,338,9,Timestamp-Dependency,code snippet injection
343,338,9,Timestamp-Dependency,code snippet injection
325,323,5,Timestamp-Dependency,code snippet injection
326,323,5,Timestamp-Dependency,code snippet injection
305,302,9,Timestamp-Dependency,code snippet injection
306,302,9,Timestamp-Dependency,code snippet injection
307,302,9,Timestamp-Dependency,code snippet injection
258,256,5,Timestamp-Dependency,code snippet injection
259,256,5,Timestamp-Dependency,code snippet injection
232,229,9,Timestamp-Dependency,code snippet injection
233,229,9,Timestamp-Dependency,code snippet injection
234,229,9,Timestamp-Dependency,code snippet injection
208,206,4,Timestamp-Dependency,code snippet injection
189,187,4,Timestamp-Dependency,code snippet injection
168,166,5,Timestamp-Dependency,code snippet injection
169,166,5,Timestamp-Dependency,code snippet injection
150,148,5,Timestamp-Dependency,code snippet injection
151,148,5,Timestamp-Dependency,code snippet injection
121,118,9,Timestamp-Dependency,code snippet injection
122,118,9,Timestamp-Dependency,code snippet injection
123,118,9,Timestamp-Dependency,code snippet injection
53,51,4,Timestamp-Dependency,code snippet injection
27,24,9,Timestamp-Dependency,code snippet injection
28,24,9,Timestamp-Dependency,code snippet injection
29,24,9,Timestamp-Dependency,code snippet injection
284,281,9,Timestamp-Dependency,code snippet injection
285,281,9,Timestamp-Dependency,code snippet injection
286,281,9,Timestamp-Dependency,code snippet injection
277,275,4,Timestamp-Dependency,code snippet injection
271,269,5,Timestamp-Dependency,code snippet injection
272,269,5,Timestamp-Dependency,code snippet injection
87,86,3,Timestamp-Dependency,code snippet injection
83,82,3,Timestamp-Dependency,code snippet injection
76,74,5,Timestamp-Dependency,code snippet injection
77,74,5,Timestamp-Dependency,code snippet injection
70,69,3,Timestamp-Dependency,code snippet injection
66,65,3,Timestamp-Dependency,code snippet injection
62,60,4,Timestamp-Dependency,code snippet injection
9,8,3,Timestamp-Dependency,code snippet injection
