line,loc,length,bug type,approach
104,104,1,Timestamp-Dependency,code snippet injection
77,77,1,Timestamp-Dependency,code snippet injection
75,75,1,Timestamp-Dependency,code snippet injection
120,120,1,Timestamp-Dependency,code snippet injection
341,341,1,Timestamp-Dependency,code snippet injection
331,330,3,Timestamp-Dependency,code snippet injection
319,317,5,Timestamp-Dependency,code snippet injection
320,317,5,Timestamp-Dependency,code snippet injection
301,299,5,Timestamp-Dependency,code snippet injection
302,299,5,Timestamp-Dependency,code snippet injection
288,287,3,Timestamp-Dependency,code snippet injection
263,260,9,Timestamp-Dependency,code snippet injection
264,260,9,Timestamp-Dependency,code snippet injection
265,260,9,Timestamp-Dependency,code snippet injection
242,240,5,Timestamp-Dependency,code snippet injection
243,240,5,Timestamp-Dependency,code snippet injection
221,218,9,Timestamp-Dependency,code snippet injection
222,218,9,Timestamp-Dependency,code snippet injection
223,218,9,Timestamp-Dependency,code snippet injection
207,205,5,Timestamp-Dependency,code snippet injection
208,205,5,Timestamp-Dependency,code snippet injection
191,188,9,Timestamp-Dependency,code snippet injection
192,188,9,Timestamp-Dependency,code snippet injection
193,188,9,Timestamp-Dependency,code snippet injection
137,135,4,Timestamp-Dependency,code snippet injection
127,125,4,Timestamp-Dependency,code snippet injection
112,110,5,Timestamp-Dependency,code snippet injection
113,110,5,Timestamp-Dependency,code snippet injection
86,84,5,Timestamp-Dependency,code snippet injection
87,84,5,Timestamp-Dependency,code snippet injection
68,65,9,Timestamp-Dependency,code snippet injection
69,65,9,Timestamp-Dependency,code snippet injection
70,65,9,Timestamp-Dependency,code snippet injection
62,60,4,Timestamp-Dependency,code snippet injection
53,50,9,Timestamp-Dependency,code snippet injection
54,50,9,Timestamp-Dependency,code snippet injection
55,50,9,Timestamp-Dependency,code snippet injection
43,40,9,Timestamp-Dependency,code snippet injection
44,40,9,Timestamp-Dependency,code snippet injection
45,40,9,Timestamp-Dependency,code snippet injection
37,35,4,Timestamp-Dependency,code snippet injection
31,29,5,Timestamp-Dependency,code snippet injection
32,29,5,Timestamp-Dependency,code snippet injection
171,170,3,Timestamp-Dependency,code snippet injection
167,166,3,Timestamp-Dependency,code snippet injection
160,158,5,Timestamp-Dependency,code snippet injection
161,158,5,Timestamp-Dependency,code snippet injection
155,154,3,Timestamp-Dependency,code snippet injection
151,150,3,Timestamp-Dependency,code snippet injection
147,145,4,Timestamp-Dependency,code snippet injection
100,99,3,Timestamp-Dependency,code snippet injection
95,93,5,Timestamp-Dependency,code snippet injection
96,93,5,Timestamp-Dependency,code snippet injection
