line,loc,length,bug type,approach
62,62,1,Timestamp-Dependency,code snippet injection
181,181,1,Timestamp-Dependency,code snippet injection
481,481,1,Timestamp-Dependency,code snippet injection
476,476,1,Timestamp-Dependency,code snippet injection
470,470,1,Timestamp-Dependency,code snippet injection
455,454,3,Timestamp-Dependency,code snippet injection
304,302,5,Timestamp-Dependency,code snippet injection
305,302,5,Timestamp-Dependency,code snippet injection
287,285,5,Timestamp-Dependency,code snippet injection
288,285,5,Timestamp-Dependency,code snippet injection
265,264,3,Timestamp-Dependency,code snippet injection
236,233,9,Timestamp-Dependency,code snippet injection
237,233,9,Timestamp-Dependency,code snippet injection
238,233,9,Timestamp-Dependency,code snippet injection
219,217,5,Timestamp-Dependency,code snippet injection
220,217,5,Timestamp-Dependency,code snippet injection
204,201,9,Timestamp-Dependency,code snippet injection
205,201,9,Timestamp-Dependency,code snippet injection
206,201,9,Timestamp-Dependency,code snippet injection
190,188,5,Timestamp-Dependency,code snippet injection
191,188,5,Timestamp-Dependency,code snippet injection
117,114,9,Timestamp-Dependency,code snippet injection
118,114,9,Timestamp-Dependency,code snippet injection
119,114,9,Timestamp-Dependency,code snippet injection
24,22,4,Timestamp-Dependency,code snippet injection
19,17,4,Timestamp-Dependency,code snippet injection
13,11,5,Timestamp-Dependency,code snippet injection
14,11,5,Timestamp-Dependency,code snippet injection
7,5,5,Timestamp-Dependency,code snippet injection
8,5,5,Timestamp-Dependency,code snippet injection
169,166,9,Timestamp-Dependency,code snippet injection
170,166,9,Timestamp-Dependency,code snippet injection
171,166,9,Timestamp-Dependency,code snippet injection
162,160,4,Timestamp-Dependency,code snippet injection
152,149,9,Timestamp-Dependency,code snippet injection
153,149,9,Timestamp-Dependency,code snippet injection
154,149,9,Timestamp-Dependency,code snippet injection
141,138,9,Timestamp-Dependency,code snippet injection
142,138,9,Timestamp-Dependency,code snippet injection
143,138,9,Timestamp-Dependency,code snippet injection
134,132,4,Timestamp-Dependency,code snippet injection
127,125,5,Timestamp-Dependency,code snippet injection
128,125,5,Timestamp-Dependency,code snippet injection
83,82,3,Timestamp-Dependency,code snippet injection
78,77,3,Timestamp-Dependency,code snippet injection
72,70,5,Timestamp-Dependency,code snippet injection
73,70,5,Timestamp-Dependency,code snippet injection
66,65,3,Timestamp-Dependency,code snippet injection
