line,loc,length,bug type,approach
284,284,1,Timestamp-Dependency,code snippet injection
282,282,1,Timestamp-Dependency,code snippet injection
420,420,1,Timestamp-Dependency,code snippet injection
414,414,1,Timestamp-Dependency,code snippet injection
407,407,1,Timestamp-Dependency,code snippet injection
396,395,3,Timestamp-Dependency,code snippet injection
387,385,5,Timestamp-Dependency,code snippet injection
388,385,5,Timestamp-Dependency,code snippet injection
353,351,5,Timestamp-Dependency,code snippet injection
354,351,5,Timestamp-Dependency,code snippet injection
335,334,3,Timestamp-Dependency,code snippet injection
321,318,9,Timestamp-Dependency,code snippet injection
322,318,9,Timestamp-Dependency,code snippet injection
323,318,9,Timestamp-Dependency,code snippet injection
310,308,5,Timestamp-Dependency,code snippet injection
311,308,5,Timestamp-Dependency,code snippet injection
297,294,9,Timestamp-Dependency,code snippet injection
298,294,9,Timestamp-Dependency,code snippet injection
299,294,9,Timestamp-Dependency,code snippet injection
206,204,5,Timestamp-Dependency,code snippet injection
207,204,5,Timestamp-Dependency,code snippet injection
188,185,9,Timestamp-Dependency,code snippet injection
189,185,9,Timestamp-Dependency,code snippet injection
190,185,9,Timestamp-Dependency,code snippet injection
179,177,4,Timestamp-Dependency,code snippet injection
171,169,4,Timestamp-Dependency,code snippet injection
152,150,5,Timestamp-Dependency,code snippet injection
153,150,5,Timestamp-Dependency,code snippet injection
136,134,5,Timestamp-Dependency,code snippet injection
137,134,5,Timestamp-Dependency,code snippet injection
123,120,9,Timestamp-Dependency,code snippet injection
124,120,9,Timestamp-Dependency,code snippet injection
125,120,9,Timestamp-Dependency,code snippet injection
52,50,4,Timestamp-Dependency,code snippet injection
43,40,9,Timestamp-Dependency,code snippet injection
44,40,9,Timestamp-Dependency,code snippet injection
45,40,9,Timestamp-Dependency,code snippet injection
33,30,9,Timestamp-Dependency,code snippet injection
34,30,9,Timestamp-Dependency,code snippet injection
35,30,9,Timestamp-Dependency,code snippet injection
25,23,4,Timestamp-Dependency,code snippet injection
19,17,5,Timestamp-Dependency,code snippet injection
20,17,5,Timestamp-Dependency,code snippet injection
14,13,3,Timestamp-Dependency,code snippet injection
273,272,3,Timestamp-Dependency,code snippet injection
266,264,5,Timestamp-Dependency,code snippet injection
267,264,5,Timestamp-Dependency,code snippet injection
261,260,3,Timestamp-Dependency,code snippet injection
254,253,3,Timestamp-Dependency,code snippet injection
249,247,4,Timestamp-Dependency,code snippet injection
243,242,3,Timestamp-Dependency,code snippet injection
236,234,5,Timestamp-Dependency,code snippet injection
237,234,5,Timestamp-Dependency,code snippet injection
225,222,9,Timestamp-Dependency,code snippet injection
226,222,9,Timestamp-Dependency,code snippet injection
227,222,9,Timestamp-Dependency,code snippet injection
215,213,4,Timestamp-Dependency,code snippet injection
104,102,4,Timestamp-Dependency,code snippet injection
98,97,3,Timestamp-Dependency,code snippet injection
93,91,4,Timestamp-Dependency,code snippet injection
84,81,9,Timestamp-Dependency,code snippet injection
85,81,9,Timestamp-Dependency,code snippet injection
86,81,9,Timestamp-Dependency,code snippet injection
76,74,5,Timestamp-Dependency,code snippet injection
77,74,5,Timestamp-Dependency,code snippet injection
71,70,3,Timestamp-Dependency,code snippet injection
63,60,9,Timestamp-Dependency,code snippet injection
64,60,9,Timestamp-Dependency,code snippet injection
65,60,9,Timestamp-Dependency,code snippet injection
