line,loc,length,bug type,approach
219,218,3,Unhandled-Exceptions,code snippet injection
215,211,6,Unhandled-Exceptions,code snippet injection
207,205,5,Unhandled-Exceptions,code snippet injection
87,86,2,Unhandled-Exceptions,code snippet injection
46,42,6,Unhandled-Exceptions,code snippet injection
459,457,9,Unhandled-Exceptions,code snippet injection
444,438,9,Unhandled-Exceptions,code snippet injection
429,428,3,Unhandled-Exceptions,code snippet injection
418,417,3,Unhandled-Exceptions,code snippet injection
412,411,2,Unhandled-Exceptions,code snippet injection
358,352,9,Unhandled-Exceptions,code snippet injection
339,336,8,Unhandled-Exceptions,code snippet injection
319,318,3,Unhandled-Exceptions,code snippet injection
298,297,3,Unhandled-Exceptions,code snippet injection
286,284,5,Unhandled-Exceptions,code snippet injection
268,266,9,Unhandled-Exceptions,code snippet injection
259,257,5,Unhandled-Exceptions,code snippet injection
252,251,3,Unhandled-Exceptions,code snippet injection
246,240,9,Unhandled-Exceptions,code snippet injection
155,149,9,Unhandled-Exceptions,code snippet injection
138,137,3,Unhandled-Exceptions,code snippet injection
102,100,5,Unhandled-Exceptions,code snippet injection
70,69,3,Unhandled-Exceptions,code snippet injection
57,53,6,Unhandled-Exceptions,code snippet injection
397,396,2,Unhandled-Exceptions,code snippet injection
196,195,3,Unhandled-Exceptions,code snippet injection
192,191,3,Unhandled-Exceptions,code snippet injection
188,187,3,Unhandled-Exceptions,code snippet injection
183,181,5,Unhandled-Exceptions,code snippet injection
82,81,3,Unhandled-Exceptions,code snippet injection
35,32,8,Unhandled-Exceptions,code snippet injection
