line,loc,length,bug type,approach
267,266,3,Unhandled-Exceptions,code snippet injection
263,259,6,Unhandled-Exceptions,code snippet injection
255,253,5,Unhandled-Exceptions,code snippet injection
251,250,2,Unhandled-Exceptions,code snippet injection
247,243,6,Unhandled-Exceptions,code snippet injection
235,233,9,Unhandled-Exceptions,code snippet injection
48,42,9,Unhandled-Exceptions,code snippet injection
39,38,3,Unhandled-Exceptions,code snippet injection
557,556,3,Unhandled-Exceptions,code snippet injection
501,500,2,Unhandled-Exceptions,code snippet injection
470,464,9,Unhandled-Exceptions,code snippet injection
433,430,8,Unhandled-Exceptions,code snippet injection
406,405,3,Unhandled-Exceptions,code snippet injection
366,365,3,Unhandled-Exceptions,code snippet injection
337,335,5,Unhandled-Exceptions,code snippet injection
312,310,9,Unhandled-Exceptions,code snippet injection
115,113,5,Unhandled-Exceptions,code snippet injection
110,109,3,Unhandled-Exceptions,code snippet injection
105,99,9,Unhandled-Exceptions,code snippet injection
95,89,9,Unhandled-Exceptions,code snippet injection
86,85,3,Unhandled-Exceptions,code snippet injection
81,79,5,Unhandled-Exceptions,code snippet injection
76,75,3,Unhandled-Exceptions,code snippet injection
68,64,6,Unhandled-Exceptions,code snippet injection
59,58,2,Unhandled-Exceptions,code snippet injection
32,31,3,Unhandled-Exceptions,code snippet injection
20,19,3,Unhandled-Exceptions,code snippet injection
229,228,3,Unhandled-Exceptions,code snippet injection
223,221,5,Unhandled-Exceptions,code snippet injection
218,217,3,Unhandled-Exceptions,code snippet injection
211,208,8,Unhandled-Exceptions,code snippet injection
205,204,3,Unhandled-Exceptions,code snippet injection
201,200,3,Unhandled-Exceptions,code snippet injection
197,196,3,Unhandled-Exceptions,code snippet injection
193,192,3,Unhandled-Exceptions,code snippet injection
11,9,5,Unhandled-Exceptions,code snippet injection
