line,loc,length,bug type,approach
58,57,3,Unhandled-Exceptions,code snippet injection
54,50,6,Unhandled-Exceptions,code snippet injection
45,43,5,Unhandled-Exceptions,code snippet injection
41,40,2,Unhandled-Exceptions,code snippet injection
37,33,6,Unhandled-Exceptions,code snippet injection
25,23,9,Unhandled-Exceptions,code snippet injection
19,13,9,Unhandled-Exceptions,code snippet injection
10,9,3,Unhandled-Exceptions,code snippet injection
296,295,3,Unhandled-Exceptions,code snippet injection
290,289,2,Unhandled-Exceptions,code snippet injection
279,273,9,Unhandled-Exceptions,code snippet injection
264,261,8,Unhandled-Exceptions,code snippet injection
234,233,3,Unhandled-Exceptions,code snippet injection
222,221,3,Unhandled-Exceptions,code snippet injection
209,207,5,Unhandled-Exceptions,code snippet injection
194,192,9,Unhandled-Exceptions,code snippet injection
182,180,5,Unhandled-Exceptions,code snippet injection
172,171,3,Unhandled-Exceptions,code snippet injection
133,127,9,Unhandled-Exceptions,code snippet injection
123,117,9,Unhandled-Exceptions,code snippet injection
113,112,3,Unhandled-Exceptions,code snippet injection
108,106,5,Unhandled-Exceptions,code snippet injection
103,102,3,Unhandled-Exceptions,code snippet injection
98,94,6,Unhandled-Exceptions,code snippet injection
91,90,2,Unhandled-Exceptions,code snippet injection
86,85,3,Unhandled-Exceptions,code snippet injection
82,81,3,Unhandled-Exceptions,code snippet injection
78,77,3,Unhandled-Exceptions,code snippet injection
