line,loc,length,bug type,approach
353,352,3,Unhandled-Exceptions,code snippet injection
157,153,6,Unhandled-Exceptions,code snippet injection
149,147,5,Unhandled-Exceptions,code snippet injection
44,43,2,Unhandled-Exceptions,code snippet injection
14,10,6,Unhandled-Exceptions,code snippet injection
441,439,9,Unhandled-Exceptions,code snippet injection
428,422,9,Unhandled-Exceptions,code snippet injection
412,411,3,Unhandled-Exceptions,code snippet injection
401,400,3,Unhandled-Exceptions,code snippet injection
389,388,2,Unhandled-Exceptions,code snippet injection
338,332,9,Unhandled-Exceptions,code snippet injection
323,320,8,Unhandled-Exceptions,code snippet injection
314,313,3,Unhandled-Exceptions,code snippet injection
252,251,3,Unhandled-Exceptions,code snippet injection
225,223,5,Unhandled-Exceptions,code snippet injection
179,177,9,Unhandled-Exceptions,code snippet injection
169,167,5,Unhandled-Exceptions,code snippet injection
138,137,3,Unhandled-Exceptions,code snippet injection
130,124,9,Unhandled-Exceptions,code snippet injection
117,111,9,Unhandled-Exceptions,code snippet injection
105,104,3,Unhandled-Exceptions,code snippet injection
95,93,5,Unhandled-Exceptions,code snippet injection
85,84,3,Unhandled-Exceptions,code snippet injection
76,72,6,Unhandled-Exceptions,code snippet injection
64,63,2,Unhandled-Exceptions,code snippet injection
55,54,3,Unhandled-Exceptions,code snippet injection
24,23,3,Unhandled-Exceptions,code snippet injection
290,289,3,Unhandled-Exceptions,code snippet injection
38,36,5,Unhandled-Exceptions,code snippet injection
33,32,3,Unhandled-Exceptions,code snippet injection
