line,loc,length,bug type,approach
341,340,3,Unhandled-Exceptions,code snippet injection
332,328,6,Unhandled-Exceptions,code snippet injection
317,315,5,Unhandled-Exceptions,code snippet injection
310,309,2,Unhandled-Exceptions,code snippet injection
301,297,6,Unhandled-Exceptions,code snippet injection
283,281,9,Unhandled-Exceptions,code snippet injection
271,265,9,Unhandled-Exceptions,code snippet injection
242,241,3,Unhandled-Exceptions,code snippet injection
232,231,3,Unhandled-Exceptions,code snippet injection
224,223,2,Unhandled-Exceptions,code snippet injection
203,197,9,Unhandled-Exceptions,code snippet injection
186,183,8,Unhandled-Exceptions,code snippet injection
177,176,3,Unhandled-Exceptions,code snippet injection
170,169,3,Unhandled-Exceptions,code snippet injection
162,160,5,Unhandled-Exceptions,code snippet injection
105,103,9,Unhandled-Exceptions,code snippet injection
96,94,5,Unhandled-Exceptions,code snippet injection
88,87,3,Unhandled-Exceptions,code snippet injection
80,74,9,Unhandled-Exceptions,code snippet injection
152,146,9,Unhandled-Exceptions,code snippet injection
143,142,3,Unhandled-Exceptions,code snippet injection
138,136,5,Unhandled-Exceptions,code snippet injection
133,132,3,Unhandled-Exceptions,code snippet injection
129,125,6,Unhandled-Exceptions,code snippet injection
122,121,2,Unhandled-Exceptions,code snippet injection
118,117,3,Unhandled-Exceptions,code snippet injection
65,64,3,Unhandled-Exceptions,code snippet injection
61,60,3,Unhandled-Exceptions,code snippet injection
56,54,5,Unhandled-Exceptions,code snippet injection
