line,loc,length,bug type,approach
64,63,3,Unhandled-Exceptions,code snippet injection
69,67,5,Unhandled-Exceptions,code snippet injection
74,73,3,Unhandled-Exceptions,code snippet injection
83,77,9,Unhandled-Exceptions,code snippet injection
93,87,9,Unhandled-Exceptions,code snippet injection
98,97,3,Unhandled-Exceptions,code snippet injection
110,108,5,Unhandled-Exceptions,code snippet injection
117,113,6,Unhandled-Exceptions,code snippet injection
122,121,3,Unhandled-Exceptions,code snippet injection
131,129,9,Unhandled-Exceptions,code snippet injection
144,142,5,Unhandled-Exceptions,code snippet injection
151,150,3,Unhandled-Exceptions,code snippet injection
158,157,3,Unhandled-Exceptions,code snippet injection
167,164,8,Unhandled-Exceptions,code snippet injection
183,177,9,Unhandled-Exceptions,code snippet injection
191,190,2,Unhandled-Exceptions,code snippet injection
198,197,3,Unhandled-Exceptions,code snippet injection
207,206,3,Unhandled-Exceptions,code snippet injection
220,214,9,Unhandled-Exceptions,code snippet injection
130,228,9,Unhandled-Exceptions,code snippet injection
250,246,6,Unhandled-Exceptions,code snippet injection
260,259,2,Unhandled-Exceptions,code snippet injection
266,264,5,Unhandled-Exceptions,code snippet injection
