line,loc,length,bug type,approach
23,22,3,Unhandled-Exceptions,code snippet injection
34,31,8,Unhandled-Exceptions,code snippet injection
52,46,9,Unhandled-Exceptions,code snippet injection
62,61,2,Unhandled-Exceptions,code snippet injection
69,68,3,Unhandled-Exceptions,code snippet injection
77,73,6,Unhandled-Exceptions,code snippet injection
81,80,3,Unhandled-Exceptions,code snippet injection
89,88,3,Unhandled-Exceptions,code snippet injection
94,92,5,Unhandled-Exceptions,code snippet injection
106,104,9,Unhandled-Exceptions,code snippet injection
116,114,5,Unhandled-Exceptions,code snippet injection
121,120,3,Unhandled-Exceptions,code snippet injection
133,132,3,Unhandled-Exceptions,code snippet injection
149,143,9,Unhandled-Exceptions,code snippet injection
166,164,9,Unhandled-Exceptions,code snippet injection
181,177,6,Unhandled-Exceptions,code snippet injection
190,189,2,Unhandled-Exceptions,code snippet injection
197,195,5,Unhandled-Exceptions,code snippet injection
