line,loc,length,bug type,approach
111,110,3,Unhandled-Exceptions,code snippet injection
107,103,6,Unhandled-Exceptions,code snippet injection
99,97,5,Unhandled-Exceptions,code snippet injection
95,94,2,Unhandled-Exceptions,code snippet injection
91,87,6,Unhandled-Exceptions,code snippet injection
79,77,9,Unhandled-Exceptions,code snippet injection
73,67,9,Unhandled-Exceptions,code snippet injection
311,310,3,Unhandled-Exceptions,code snippet injection
301,300,3,Unhandled-Exceptions,code snippet injection
294,293,2,Unhandled-Exceptions,code snippet injection
285,279,9,Unhandled-Exceptions,code snippet injection
269,266,8,Unhandled-Exceptions,code snippet injection
253,252,3,Unhandled-Exceptions,code snippet injection
216,215,3,Unhandled-Exceptions,code snippet injection
172,170,5,Unhandled-Exceptions,code snippet injection
147,145,9,Unhandled-Exceptions,code snippet injection
129,127,5,Unhandled-Exceptions,code snippet injection
120,119,3,Unhandled-Exceptions,code snippet injection
61,55,9,Unhandled-Exceptions,code snippet injection
42,36,9,Unhandled-Exceptions,code snippet injection
14,13,3,Unhandled-Exceptions,code snippet injection
