line,loc,length,bug type,approach
350,349,3,Unhandled-Exceptions,code snippet injection
259,255,6,Unhandled-Exceptions,code snippet injection
40,38,5,Unhandled-Exceptions,code snippet injection
11,10,2,Unhandled-Exceptions,code snippet injection
430,426,6,Unhandled-Exceptions,code snippet injection
411,409,9,Unhandled-Exceptions,code snippet injection
398,392,9,Unhandled-Exceptions,code snippet injection
380,379,3,Unhandled-Exceptions,code snippet injection
337,336,3,Unhandled-Exceptions,code snippet injection
331,330,2,Unhandled-Exceptions,code snippet injection
323,317,9,Unhandled-Exceptions,code snippet injection
281,278,8,Unhandled-Exceptions,code snippet injection
270,269,3,Unhandled-Exceptions,code snippet injection
213,212,3,Unhandled-Exceptions,code snippet injection
186,184,5,Unhandled-Exceptions,code snippet injection
140,138,9,Unhandled-Exceptions,code snippet injection
131,129,5,Unhandled-Exceptions,code snippet injection
123,122,3,Unhandled-Exceptions,code snippet injection
115,109,9,Unhandled-Exceptions,code snippet injection
100,94,9,Unhandled-Exceptions,code snippet injection
86,85,3,Unhandled-Exceptions,code snippet injection
76,74,5,Unhandled-Exceptions,code snippet injection
65,64,3,Unhandled-Exceptions,code snippet injection
56,52,6,Unhandled-Exceptions,code snippet injection
20,19,2,Unhandled-Exceptions,code snippet injection
294,293,3,Unhandled-Exceptions,code snippet injection
251,250,3,Unhandled-Exceptions,code snippet injection
34,33,3,Unhandled-Exceptions,code snippet injection
29,27,5,Unhandled-Exceptions,code snippet injection
