line,loc,length,bug type,approach
135,134,3,Unhandled-Exceptions,code snippet injection
130,126,6,Unhandled-Exceptions,code snippet injection
121,119,5,Unhandled-Exceptions,code snippet injection
355,354,2,Unhandled-Exceptions,code snippet injection
348,344,6,Unhandled-Exceptions,code snippet injection
329,327,9,Unhandled-Exceptions,code snippet injection
316,310,9,Unhandled-Exceptions,code snippet injection
298,297,3,Unhandled-Exceptions,code snippet injection
287,286,3,Unhandled-Exceptions,code snippet injection
209,208,2,Unhandled-Exceptions,code snippet injection
196,190,9,Unhandled-Exceptions,code snippet injection
178,175,8,Unhandled-Exceptions,code snippet injection
166,165,3,Unhandled-Exceptions,code snippet injection
158,157,3,Unhandled-Exceptions,code snippet injection
147,145,5,Unhandled-Exceptions,code snippet injection
73,71,9,Unhandled-Exceptions,code snippet injection
59,57,5,Unhandled-Exceptions,code snippet injection
264,263,3,Unhandled-Exceptions,code snippet injection
251,245,9,Unhandled-Exceptions,code snippet injection
241,235,9,Unhandled-Exceptions,code snippet injection
231,230,3,Unhandled-Exceptions,code snippet injection
226,224,5,Unhandled-Exceptions,code snippet injection
221,220,3,Unhandled-Exceptions,code snippet injection
115,111,6,Unhandled-Exceptions,code snippet injection
109,108,2,Unhandled-Exceptions,code snippet injection
104,103,3,Unhandled-Exceptions,code snippet injection
100,99,3,Unhandled-Exceptions,code snippet injection
96,95,3,Unhandled-Exceptions,code snippet injection
91,89,5,Unhandled-Exceptions,code snippet injection
50,49,3,Unhandled-Exceptions,code snippet injection
