line,loc,length,bug type,approach
243,242,3,Unhandled-Exceptions,code snippet injection
239,235,6,Unhandled-Exceptions,code snippet injection
231,229,5,Unhandled-Exceptions,code snippet injection
52,51,2,Unhandled-Exceptions,code snippet injection
48,44,6,Unhandled-Exceptions,code snippet injection
36,34,9,Unhandled-Exceptions,code snippet injection
30,24,9,Unhandled-Exceptions,code snippet injection
310,309,3,Unhandled-Exceptions,code snippet injection
298,297,3,Unhandled-Exceptions,code snippet injection
283,282,2,Unhandled-Exceptions,code snippet injection
270,264,9,Unhandled-Exceptions,code snippet injection
254,251,8,Unhandled-Exceptions,code snippet injection
218,217,3,Unhandled-Exceptions,code snippet injection
209,208,3,Unhandled-Exceptions,code snippet injection
199,197,5,Unhandled-Exceptions,code snippet injection
183,181,9,Unhandled-Exceptions,code snippet injection
171,169,5,Unhandled-Exceptions,code snippet injection
162,161,3,Unhandled-Exceptions,code snippet injection
153,147,9,Unhandled-Exceptions,code snippet injection
139,133,9,Unhandled-Exceptions,code snippet injection
126,125,3,Unhandled-Exceptions,code snippet injection
117,115,5,Unhandled-Exceptions,code snippet injection
108,107,3,Unhandled-Exceptions,code snippet injection
82,78,6,Unhandled-Exceptions,code snippet injection
72,71,2,Unhandled-Exceptions,code snippet injection
64,63,3,Unhandled-Exceptions,code snippet injection
225,224,3,Unhandled-Exceptions,code snippet injection
20,19,3,Unhandled-Exceptions,code snippet injection
15,13,5,Unhandled-Exceptions,code snippet injection
10,9,3,Unhandled-Exceptions,code snippet injection
