line,loc,length,bug type,approach
109,108,3,Unhandled-Exceptions,code snippet injection
77,73,6,Unhandled-Exceptions,code snippet injection
69,67,5,Unhandled-Exceptions,code snippet injection
351,350,2,Unhandled-Exceptions,code snippet injection
340,336,6,Unhandled-Exceptions,code snippet injection
321,319,9,Unhandled-Exceptions,code snippet injection
303,297,9,Unhandled-Exceptions,code snippet injection
286,285,3,Unhandled-Exceptions,code snippet injection
265,264,3,Unhandled-Exceptions,code snippet injection
248,247,2,Unhandled-Exceptions,code snippet injection
231,225,9,Unhandled-Exceptions,code snippet injection
212,209,8,Unhandled-Exceptions,code snippet injection
199,198,3,Unhandled-Exceptions,code snippet injection
146,145,3,Unhandled-Exceptions,code snippet injection
136,134,5,Unhandled-Exceptions,code snippet injection
118,116,9,Unhandled-Exceptions,code snippet injection
87,85,5,Unhandled-Exceptions,code snippet injection
64,63,3,Unhandled-Exceptions,code snippet injection
59,53,9,Unhandled-Exceptions,code snippet injection
49,43,9,Unhandled-Exceptions,code snippet injection
40,39,3,Unhandled-Exceptions,code snippet injection
35,33,5,Unhandled-Exceptions,code snippet injection
30,29,3,Unhandled-Exceptions,code snippet injection
181,177,6,Unhandled-Exceptions,code snippet injection
175,174,2,Unhandled-Exceptions,code snippet injection
169,168,3,Unhandled-Exceptions,code snippet injection
165,164,3,Unhandled-Exceptions,code snippet injection
161,160,3,Unhandled-Exceptions,code snippet injection
156,154,5,Unhandled-Exceptions,code snippet injection
104,103,3,Unhandled-Exceptions,code snippet injection
97,94,8,Unhandled-Exceptions,code snippet injection
