line,loc,length,bug type,approach
75,74,3,Unhandled-Exceptions,code snippet injection
69,65,6,Unhandled-Exceptions,code snippet injection
59,57,5,Unhandled-Exceptions,code snippet injection
253,252,2,Unhandled-Exceptions,code snippet injection
232,228,6,Unhandled-Exceptions,code snippet injection
206,204,9,Unhandled-Exceptions,code snippet injection
182,176,9,Unhandled-Exceptions,code snippet injection
159,158,3,Unhandled-Exceptions,code snippet injection
140,139,3,Unhandled-Exceptions,code snippet injection
125,124,2,Unhandled-Exceptions,code snippet injection
100,94,9,Unhandled-Exceptions,code snippet injection
49,46,8,Unhandled-Exceptions,code snippet injection
43,42,3,Unhandled-Exceptions,code snippet injection
37,36,3,Unhandled-Exceptions,code snippet injection
31,29,5,Unhandled-Exceptions,code snippet injection
21,19,9,Unhandled-Exceptions,code snippet injection
15,13,5,Unhandled-Exceptions,code snippet injection
