line,loc,length,bug type,approach
22,21,3,Unhandled-Exceptions,code snippet injection
18,14,6,Unhandled-Exceptions,code snippet injection
10,8,5,Unhandled-Exceptions,code snippet injection
241,240,2,Unhandled-Exceptions,code snippet injection
233,229,6,Unhandled-Exceptions,code snippet injection
215,213,9,Unhandled-Exceptions,code snippet injection
204,198,9,Unhandled-Exceptions,code snippet injection
186,185,3,Unhandled-Exceptions,code snippet injection
176,175,3,Unhandled-Exceptions,code snippet injection
166,165,2,Unhandled-Exceptions,code snippet injection
138,132,9,Unhandled-Exceptions,code snippet injection
106,103,8,Unhandled-Exceptions,code snippet injection
79,78,3,Unhandled-Exceptions,code snippet injection
73,72,3,Unhandled-Exceptions,code snippet injection
68,66,5,Unhandled-Exceptions,code snippet injection
58,56,9,Unhandled-Exceptions,code snippet injection
52,50,5,Unhandled-Exceptions,code snippet injection
47,46,3,Unhandled-Exceptions,code snippet injection
42,36,9,Unhandled-Exceptions,code snippet injection
32,26,9,Unhandled-Exceptions,code snippet injection
