line,loc,length,bug type,approach
267,266,3,Unhandled-Exceptions,code snippet injection
415,411,6,Unhandled-Exceptions,code snippet injection
403,401,5,Unhandled-Exceptions,code snippet injection
394,393,2,Unhandled-Exceptions,code snippet injection
382,378,6,Unhandled-Exceptions,code snippet injection
366,364,9,Unhandled-Exceptions,code snippet injection
332,326,9,Unhandled-Exceptions,code snippet injection
310,309,3,Unhandled-Exceptions,code snippet injection
300,299,3,Unhandled-Exceptions,code snippet injection
293,292,2,Unhandled-Exceptions,code snippet injection
284,278,9,Unhandled-Exceptions,code snippet injection
193,190,8,Unhandled-Exceptions,code snippet injection
178,177,3,Unhandled-Exceptions,code snippet injection
171,170,3,Unhandled-Exceptions,code snippet injection
163,161,5,Unhandled-Exceptions,code snippet injection
140,138,9,Unhandled-Exceptions,code snippet injection
124,122,5,Unhandled-Exceptions,code snippet injection
115,114,3,Unhandled-Exceptions,code snippet injection
52,46,9,Unhandled-Exceptions,code snippet injection
42,36,9,Unhandled-Exceptions,code snippet injection
33,32,3,Unhandled-Exceptions,code snippet injection
26,24,5,Unhandled-Exceptions,code snippet injection
21,20,3,Unhandled-Exceptions,code snippet injection
17,13,6,Unhandled-Exceptions,code snippet injection
257,256,2,Unhandled-Exceptions,code snippet injection
251,250,3,Unhandled-Exceptions,code snippet injection
247,246,3,Unhandled-Exceptions,code snippet injection
240,239,3,Unhandled-Exceptions,code snippet injection
234,232,5,Unhandled-Exceptions,code snippet injection
228,227,3,Unhandled-Exceptions,code snippet injection
219,216,8,Unhandled-Exceptions,code snippet injection
211,210,3,Unhandled-Exceptions,code snippet injection
203,202,3,Unhandled-Exceptions,code snippet injection
98,97,3,Unhandled-Exceptions,code snippet injection
93,92,3,Unhandled-Exceptions,code snippet injection
87,85,5,Unhandled-Exceptions,code snippet injection
82,81,3,Unhandled-Exceptions,code snippet injection
76,74,5,Unhandled-Exceptions,code snippet injection
71,67,6,Unhandled-Exceptions,code snippet injection
64,61,5,Unhandled-Exceptions,code snippet injection
